domain,term,definition,source
N/A,Credit-linked notes,"Debt securities backed by reference assets, such as loans and bonds, with an embedded credit default swap, allowing credit risk to be transferred from the issuer to investors.",IMF
N/A,Creditor approach,"With respect to calculating the interest yield on debt securities, this approach is the perspective of the unit holding the security. Under this approach, the effective yield used to compute accrued interest on debt securities is recalculated in each period to reflect current market rates.",IMF
N/A,Credits/revenues (relevant for BPM),"Transactions related to exports of goods and services, earned income receivable, transfer income receivable, and disposals of nonproduced nonfinancial assets.",IMF
N/A,Cross-currency interest rate swaps,Contracts that involve an exchange of cash flows related to interest payments and an exchange of principal amounts at an agreed exchange rate at the end of the contract.,IMF
N/A,Crypto assets (fungible and non-fungible),"Digital representations of value that use cryptography and distributed ledger technology, such as blockchains, to enable parties to transact directly with each other without the need for a trusted intermediary. Two types of crypto assets are distinguished: fungible and non-fungible. Fungible crypto assets are divisible and not unique, and non-fungible crypto assets (most commonly known as non-fungible tokens or NFTs) are unique and non-divisible.",IMF
N/A,Crypto assets with a corresponding liability designed to act as a medium of exchange within a platform,Fungible crypto assets that act as a medium of exchange within a platform. They are classified as a separate subcategory under debt securities.,IMF
N/A,Crypto assets without a corresponding liability designed to act as a medium of exchange,Fungible crypto assets for which there is no claim on the issuer. They may be designed to act as a general medium of exchange or designed to act as a medium of exchange within a platform only.,IMF
N/A,Cultivated biological resources yielding once-only products,"Animal resources and tree, crop, and plant resources that yield once-only products over which ownership rights—in some cases, collectively by the government—are enforced, and for which, natural growth or regeneration is under the direct control, responsibility, and management of institutional units. Work in progress on cultivated biological resources is classified in a separate category.",IMF
N/A,Currency,Notes and coins (including digital versions) that are of fixed nominal values and are issued or authorized by the central bank or government.,IMF
N/A,Currency board,Independent monetary authority that issues national currency that is fully backed by foreign exchange reserves.,IMF
N/A,Currency of denomination,The currency in which the value of flows and positions is fixed as specified in a contract between parties. It may be different from the currency of settlement.,IMF
N/A,Currency of settlement,The currency in which a payment is to be made. It may be different from the currency of denomination.,IMF
N/A,Currency options,Contracts that give the buyer the right (but not the obligation) to purchase or sell a currency at an agreed exchange rate at or by a specified date.,IMF
N/A,Currency union,A group of economies that adopts a common currency and has a central decision-making body (usually a currency union central bank) with the authority to issue the legal tender of the area and conduct a single monetary policy.,IMF
N/A,"Currency union, centralized","Currency union that has a central bank owned by the governments of the member economies with the common currency issued by this central bank and central bank operations in each economy carried out by branches or agencies of the currency union central bank. See also “currency union, decentralized.”",IMF
N/A,"Currency union, decentralized","A group of economies with a currency union central bank and national central banks of the member economies with the former being owned by the latter. The monetary policy decisions are taken by the decision-making body of the currency union central bank, which also coordinates the implementation of the decisions—a primary responsibility of the national central banks. See also “currency union, centralized.”",IMF
N/A,Currency union central bank,Financial institution that acts as a central bank for the member countries of a currency union.,IMF
N/A,Current account,"Account that covers the transactions in goods, services, earned income, and transfer income between institutional units. In external accounts, it relates to the relevant transactions between residents and nonresidents.",IMF
N/A,Current account balance / Current external balance,"Balance of current transactions (transactions in goods and services, earned income, and transfer income) between residents and nonresidents. The term “current account balance” is used in external accounts and is expressed from the perspective of resident units. The term “current external balance” is used in national accounts and is expressed from the perspective of the nonresident units, and therefore with the opposite sign.",IMF
N/A,Current grants (relevant for GFS),"Current transfers receivable by government units from other resident or nonresident government units or international organizations that do not meet the definition of a tax, subsidy or a social contribution.",IMF
N/A,Current international cooperation,Current transfers in cash or in kind between the governments of different countries or between governments and international organizations.,IMF
N/A,Current replacement cost / Current cost accounting,Valuation method also known as current cost accounting. This reflects the cost the unit would incur to acquire the assets and goods and services used in production at their actual or estimated current market prices at the time the production takes place.,IMF
N/A,Current taxes on capital,"Taxes that are payable periodically, usually annually, on the property or net wealth of institutional units, excluding taxes on land or other assets owned or rented by enterprises and used by them for production since such taxes are treated as other taxes on production.",IMF
N/A,"Current taxes on income, wealth, and so on","Taxes that mainly consist of taxes on the incomes of households or profits of corporations and of taxes on wealth that are payable regularly every tax period (as distinct from capital taxes levied infrequently). In external accounts, current taxes on income, wealth, and so on consist mainly of taxes levied on the income earned by nonresidents from the provision of their labor or financial assets.",IMF
N/A,Current transfers,"Unrequited transactions between two parties where one party provides a good, service, or cash to the other party with no expectation of anything of economic value in exchange. Unlike capital transfers, they are not linked to the acquisition or disposal of an asset, either financial or nonfinancial (other than cash and inventories).",IMF
N/A,Current transfers within government,"Current transfers between different government units, such as frequently occur between central and state or local government units and between the general government and social security funds.",IMF
N/A,Customs union,"A group of economies that share a common tariff (custom duties) vis-à-vis the nonmember economies, while the movement of goods within the customs union tends to be duty-free.",IMF
N/A,Data,"Information content produced by accessing and observing phenomena and recording and storing information elements from these phenomena in a digital format, which provide an economic benefit when used in productive activities. Data as an asset is data used in production for more than one year.",IMF
N/A,Data and databases,"Electronic files of data, including the information content (i.e., the data themselves), organized in such a way as to permit resource-effective access and use of the data, either for own use in production for more than one year or for sale as an item or for sale by means of a license to access the information contained.",IMF
N/A,Databases,"Electronic files of data organized in such a way as to permit resource-effective access and use of the data, either for own use in production for more than one year or for sale as an item or for sale by means of a license to access the information contained.",IMF
N/A,Debits/expenditures (relevant for BPM),"Transactions related to imports of goods and services, earned income payable, transfer income payable, and acquisitions of nonproduced nonfinancial assets.",IMF
N/A,Debt assumption,"A trilateral agreement between a creditor, former debtor, and new debtor, under which the new debtor assumes the former debtor’s outstanding liability to the creditor and is liable for repayment of debt.",IMF
N/A,Debt conversion (swap),"An exchange of debt (typically at a discount) for a non-debt claim, such as equity, or for counterpart funds that can be used to finance a particular project or policy.",IMF
N/A,Debt defeasance,"Arrangement that allows a debtor (whose debts are in the form generally of debt securities and loans) to remove certain liabilities from the balance sheet by pairing them, irrevocably, with assets of equal value to the liabilities.",IMF
N/A,Debt discount,Discount on the face value of a debt security (value below par). This occurs when market interest rates are higher than the debt security’s coupon rate at the time of issuance.,IMF
N/A,Debt forgiveness / Debt cancellation by mutual agreement,"Voluntary cancellation of all or part of a debt obligation within a contractual agreement between a creditor and debtor. In contrast to debt write-offs, debt forgiveness arises from an agreement between the parties to the debt with the intention to convey a benefit to the debtor rather than unilateral recognition by the creditor for amounts that they no longer expect to collect.",IMF
N/A,Debt instruments,"Financial instruments that require the payment of principal and/or interest at some point(s) in the future. Debt instruments consist of special drawing rights (SDRs), currency and deposits, debt securities, loans, insurance technical reserves, pension and non-pension entitlements, provision for calls under standardized guarantees, and other accounts receivable/payable. In external accounts, trade credit and advances are in a separate category from other accounts receivable/payable and are also included in debt instruments.",IMF
